RestaurantID,RestaurantName,CityID,CuisineID
REST00084,"Olson, Sutton and Sherman",CITY01512,CUIS00484
REST00085,Mcbride Ltd,CITY00642,CUIS01026
REST00086,Warren Ltd,CITY04889,CUIS03819
REST00087,Jones and Sons,CITY04145,CUIS02361
REST00088,Smith Group,CITY01309,CUIS02653
REST00089,Morales-Green,CITY04516,CUIS00626
REST00090,Pacheco-Mcbride,CITY01652,CUIS00922
REST00091,Vasquez-Diaz,CITY03438,CUIS03034
REST00092,Chavez-Walker,CITY00456,CUIS03099
REST00093,Sanchez Group,CITY02965,CUIS03380
REST00094,"Williamson, Harris and Turner",CITY02760,CUIS02894
REST00095,"Williams, Hale and Yu",CITY04351,CUIS04623
REST00096,Schwartz-Alexander,CITY01019,CUIS04908
REST00097,Walton-Adams,CITY01237,CUIS04445
REST00098,"Smith, Barrett and Weber",CITY02933,CUIS03396
REST00099,"Yu, Weiss and Martinez",CITY04554,CUIS02712
REST00100,Herrera Group,CITY04919,CUIS03112
REST00101,Cross-Salazar,CITY00035,CUIS04141
REST00102,Kim Inc,CITY00511,CUIS04696
REST00103,Martinez LLC,CITY03678,CUIS00627
REST00104,"Campbell, Hess and Morris",CITY00151,CUIS02964
REST00105,"Wilson, Price and Barron",CITY00872,CUIS01150
REST00106,Greene-Smith,CITY01326,CUIS00174
REST00107,Ray-Wolfe,CITY01458,CUIS03222
REST00108,Ellis-Moore,CITY01433,CUIS01168
REST00109,"Allen, Cooke and Morris",CITY01426,CUIS04694
REST00110,Parsons Inc,CITY02263,CUIS00749
REST00111,"Lopez, Williams and Terrell",CITY01573,CUIS03733
REST00112,Stein Group,CITY02804,CUIS00162
REST00113,"Mendoza, Fritz and Moore",CITY02411,CUIS01234
REST00114,Kemp Ltd,CITY04272,CUIS01745
REST00115,Velasquez-Moore,CITY04950,CUIS02996
REST00116,"Chaney, Nichols and Rodriguez",CITY00551,CUIS01598
REST00117,Dawson-Jackson,CITY04513,CUIS03068
REST00118,"Fields, Campbell and Sherman",CITY04003,CUIS04650
REST00119,Bass Inc,CITY00794,CUIS04809
REST00120,Aguilar PLC,CITY02306,CUIS01508
REST00121,Walker Inc,CITY00803,CUIS02476
REST00122,Villarreal Ltd,CITY04080,CUIS00363
REST00123,Miller Ltd,CITY00940,CUIS00978
REST00124,"Logan, Suarez and Torres",CITY04666,CUIS02992
REST00125,Cisneros-Garza,CITY00832,CUIS00816
REST00126,Huang-Hudson,CITY03828,CUIS01689
REST00127,"Miller, Perkins and Williams",CITY01155,CUIS00648
REST00128,"Huff, Levine and Larsen",CITY01451,CUIS03871
REST00129,Stone-Brown,CITY02452,CUIS03802
REST00130,"Boyle, Hardin and Stone",CITY03273,CUIS04466
REST00131,Hurst-Gonzalez,CITY03102,CUIS03757
REST00132,"Maynard, James and Evans",CITY02265,CUIS02055
REST00133,Medina Group,CITY01011,CUIS04851
REST00134,Hardy-Morris,CITY01890,CUIS04109
REST00135,Swanson LLC,CITY02089,CUIS00626
REST00136,Moreno Group,CITY03449,CUIS03574
REST00137,Lopez Ltd,CITY01642,CUIS04762
REST00138,Keith Group,CITY03698,CUIS03539
REST00139,"Larson, Gilbert and Andrews",CITY00649,CUIS01535
REST00140,"Torres, Miller and Hill",CITY03754,CUIS04815
REST00141,Santiago-Brown,CITY04885,CUIS02286
REST00142,"Campbell, Smith and Williams",CITY01707,CUIS03102
REST00143,Cox-Solis,CITY01916,CUIS00832
REST00144,"Allen, Bradford and Owen",CITY04653,CUIS03488
REST00145,Nelson Group,CITY02255,CUIS00838
REST00146,Ferrell and Sons,CITY04328,CUIS04401
REST00147,Keller and Sons,CITY02098,CUIS01538
REST00148,Davis-Rogers,CITY03601,CUIS04746
REST00149,Lucas-Randall,CITY02974,CUIS00056
REST00150,"King, Roman and Price",CITY01002,CUIS02353
REST00151,"Robertson, Chen and Huang",CITY00665,CUIS04767
REST00152,"Smith, Little and Dillon",CITY01218,CUIS00557
REST00153,Ruiz-Kaufman,CITY04585,CUIS00389
REST00154,Malone-Gonzales,CITY02982,CUIS02223
REST00155,Ferrell-Cummings,CITY02795,CUIS03823
REST00156,Keller Inc,CITY00805,CUIS00477
REST00157,"Bryant, Scott and Hall",CITY00711,CUIS01827
REST00158,Young-Farrell,CITY00752,CUIS02505
REST00159,"Hunter, Nixon and Ramirez",CITY04250,CUIS03262
REST00160,Roberson-Nichols,CITY03535,CUIS02084
REST00161,"Hanson, Stafford and Green",CITY01883,CUIS03314
REST00162,Braun Inc,CITY03580,CUIS03303
REST00163,Stephenson and Sons,CITY01622,CUIS03865
REST00164,Jennings-Hawkins,CITY03227,CUIS01139
REST00165,Murphy-Smith,CITY03117,CUIS03310
REST00166,Romero Inc,CITY01480,CUIS00863
REST00167,Meyers LLC,CITY03581,CUIS02333
REST00168,"Hatfield, Blair and Bell",CITY01898,CUIS04510
REST00169,Stout Ltd,CITY02821,CUIS00933
REST00170,"Matthews, Rodriguez and Beard",CITY02152,CUIS04376
REST00171,"Estrada, Zimmerman and Mccormick",CITY02349,CUIS01955
REST00172,Flores LLC,CITY04706,CUIS00680
REST00173,"Benitez, Sweeney and Castro",CITY03467,CUIS03987
REST00174,"Vasquez, White and Hickman",CITY01636,CUIS03771
REST00175,"Gordon, Cole and Moore",CITY01518,CUIS04762
REST00176,Collins Inc,CITY04304,CUIS01668
REST00177,"Gardner, Padilla and Ross",CITY04714,CUIS01780
REST00178,Chang-Hoffman,CITY01477,CUIS03248
REST00179,Mason-Harris,CITY01021,CUIS04590
REST00180,Huynh PLC,CITY03214,CUIS04870
REST00181,Hughes-Bentley,CITY03973,CUIS02803
REST00182,"Carter, Jones and Graves",CITY00696,CUIS03168
REST00183,"Johnson, Edwards and Barnes",CITY00433,CUIS02142
REST00184,"Olson, Jones and Butler",CITY01425,CUIS03959
REST00185,"Boyd, Lindsey and Woods",CITY03318,CUIS01677
REST00186,Perez LLC,CITY00106,CUIS03387
REST00187,Watson and Sons,CITY03560,CUIS04362
REST00188,"Rodriguez, Anderson and Crawford",CITY04290,CUIS04045
REST00189,Combs-Owen,CITY04616,CUIS00645
REST00190,Allison and Sons,CITY04195,CUIS04479
REST00191,"Dorsey, Lopez and Molina",CITY03188,CUIS00944
REST00192,Johnson-Miller,CITY04350,CUIS02528
REST00193,"Little, Potts and Jackson",CITY03050,CUIS04903
REST00194,Bowman-Duncan,CITY03170,CUIS01394
REST00195,Sanchez-Bush,CITY00824,CUIS03680
REST00196,Henson LLC,CITY03173,CUIS01853
REST00197,Adams and Sons,CITY01500,CUIS03010
REST00198,"Allen, Garcia and Fuller",CITY03643,CUIS01060
REST00199,Davis PLC,CITY04939,CUIS03359
REST00200,Parker-Jones,CITY00968,CUIS04238
REST00201,Price-Parker,CITY04465,CUIS04963
REST00202,Barton PLC,CITY03244,CUIS02553
REST00203,Martin-Simpson,CITY04009,CUIS02450
REST00204,Simon and Sons,CITY02394,CUIS03199
REST00205,Mathis-Flores,CITY01331,CUIS03376
REST00206,"Compton, Burke and Riley",CITY02038,CUIS01826
REST00207,Schultz-Blake,CITY03802,CUIS04189
REST00208,"Miller, Miller and Thomas",CITY01339,CUIS03444
REST00209,Kelley PLC,CITY04801,CUIS02223
REST00210,Johnson-Barron,CITY03894,CUIS01629
REST00211,Freeman Ltd,CITY00309,CUIS01035
REST00212,"Anderson, Woods and Roberts",CITY00261,CUIS02775
REST00213,"Nixon, Martinez and Larson",CITY00336,CUIS00327
REST00214,Powell-Brooks,CITY00984,CUIS04211
REST00215,Ritter-Burnett,CITY03720,CUIS00351
REST00216,Brown Ltd,CITY02843,CUIS02999
REST00217,Hernandez Group,CITY04427,CUIS01783
REST00218,Thompson-Hawkins,CITY01526,CUIS03875
REST00219,"Williams, Spencer and Young",CITY01561,CUIS00569
REST00220,Lowery-Kane,CITY01929,CUIS03196
REST00221,"Cox, Castro and Anderson",CITY00709,CUIS03226
REST00222,"Green, Morris and Davis",CITY00413,CUIS02670
REST00223,Williams-Thomas,CITY00433,CUIS00655
REST00224,"Gray, Vargas and Armstrong",CITY00416,CUIS00604
REST00225,Strong-Barnett,CITY01456,CUIS00204
REST00226,Smith Ltd,CITY01751,CUIS00855
REST00227,Hill Ltd,CITY03973,CUIS04537
REST00228,"Williamson, Schmidt and Fischer",CITY01578,CUIS04879
REST00229,Morrison Inc,CITY03058,CUIS03458
REST00230,Cooley-Hernandez,CITY03755,CUIS00078
REST00231,Lawrence PLC,CITY02004,CUIS01489
REST00232,Owens-Rivera,CITY04022,CUIS02584
REST00233,Mcdonald Group,CITY02460,CUIS03472
REST00234,Short-Reynolds,CITY03561,CUIS01450
REST00235,Bush Ltd,CITY02076,CUIS03286
REST00236,Shaw Inc,CITY02530,CUIS00136
REST00237,Sims-Smith,CITY02914,CUIS01767
REST00238,Glenn-Young,CITY04687,CUIS01734
REST00239,Smith-Scott,CITY03576,CUIS02376
REST00240,Mata Inc,CITY00786,CUIS00586
REST00241,Peterson-Johnson,CITY00074,CUIS03935
REST00242,Thompson Ltd,CITY03291,CUIS03384
REST00243,Webster Ltd,CITY00560,CUIS00208
REST00244,"Doyle, Barnett and Rivers",CITY03251,CUIS00100
REST00245,Campbell Ltd,CITY04492,CUIS01291
REST00246,Carpenter Ltd,CITY00008,CUIS01225
REST00247,Brown-Lewis,CITY03604,CUIS04534
REST00248,Johnson and Sons,CITY00085,CUIS04669
REST00249,"Patterson, Hernandez and Williams",CITY04702,CUIS04641
REST00250,"Stevens, Galvan and Diaz",CITY02986,CUIS01357
REST00251,Jackson Ltd,CITY00192,CUIS02834
REST00252,"Jenkins, Steele and Kelley",CITY03060,CUIS04303
REST00253,Peck and Sons,CITY03226,CUIS04179
REST00254,Thomas-Jordan,CITY04097,CUIS00842
REST00255,"Mcgee, Erickson and Miller",CITY01951,CUIS04388
REST00256,Chavez PLC,CITY00225,CUIS03845
REST00257,Hudson-Fowler,CITY02943,CUIS00132
REST00258,Andrade-Daniels,CITY04064,CUIS00820
REST00259,Schmidt Ltd,CITY04773,CUIS04510
REST00260,Nunez and Sons,CITY01291,CUIS02525
REST00261,Camacho-Trujillo,CITY04961,CUIS02833
REST00262,Williams Ltd,CITY02437,CUIS02233
REST00263,Conley-Brennan,CITY01059,CUIS00479
REST00264,Shannon-Berry,CITY02800,CUIS04997
REST00265,Jones-Cox,CITY01239,CUIS03199
REST00266,Burns-Alvarado,CITY00234,CUIS04525
REST00267,Berry-Holt,CITY01388,CUIS00035
REST00268,Franco-Moore,CITY02342,CUIS02250
REST00269,Dorsey-Contreras,CITY01465,CUIS01914
REST00270,Ruiz LLC,CITY02121,CUIS01235
REST00271,"Long, Huang and Nash",CITY01033,CUIS01389
REST00272,"Hernandez, Padilla and Miller",CITY01076,CUIS00549
REST00273,Romero LLC,CITY02890,CUIS02933
REST00274,Rivera Ltd,CITY03949,CUIS02686
REST00275,Berger Inc,CITY02475,CUIS01814
REST00276,Smith-Johnson,CITY04139,CUIS04926
REST00277,Dennis LLC,CITY03367,CUIS03209
REST00278,Skinner-Fox,CITY01564,CUIS03529
REST00279,Young PLC,CITY03517,CUIS00371
REST00280,Webster and Sons,CITY00223,CUIS04147
REST00281,"Beard, Stanley and Russell",CITY01840,CUIS01058
REST00282,Mcdaniel-Cortez,CITY03241,CUIS04891
REST00283,"Brady, Berry and Erickson",CITY01009,CUIS04336
REST00284,"Wilson, Swanson and Fletcher",CITY00402,CUIS04682
REST00285,Perry-Luna,CITY01013,CUIS04876
REST00286,Kramer PLC,CITY02718,CUIS04627
REST00287,Hale Ltd,CITY01804,CUIS04743
REST00288,Jennings and Sons,CITY01040,CUIS01021
REST00289,Jones LLC,CITY01381,CUIS02206
REST00290,Martinez LLC,CITY03384,CUIS00388
REST00291,Robinson-Ramirez,CITY04710,CUIS04004
REST00292,Carrillo PLC,CITY01443,CUIS00834
REST00293,Jones LLC,CITY02861,CUIS01334
REST00294,Manning-Robertson,CITY01249,CUIS01022
REST00295,Garcia-Glover,CITY01118,CUIS01212
REST00296,Santana Inc,CITY02899,CUIS04732
REST00297,"Simpson, Durham and Perez",CITY02258,CUIS00876
REST00298,Harding-Orozco,CITY01780,CUIS03320
REST00299,Collins-Marshall,CITY02736,CUIS04009
REST00300,Reynolds Ltd,CITY03780,CUIS00394
REST00301,Douglas-West,CITY02075,CUIS04670
REST00302,"Mccoy, Ellis and Wright",CITY02729,CUIS01470
REST00303,Garcia-Jordan,CITY03971,CUIS00083
REST00304,"Wolfe, Sutton and Reed",CITY02045,CUIS00573
REST00305,Murray LLC,CITY01402,CUIS04954
REST00306,"Townsend, Hernandez and Reed",CITY00035,CUIS01095
REST00307,"Frank, Hall and Stephens",CITY00619,CUIS00895
REST00308,Stewart Group,CITY03814,CUIS03451
REST00309,Scott-Schmitt,CITY04398,CUIS02501
REST00310,George-Gonzalez,CITY00879,CUIS02611
REST00311,Campos PLC,CITY04353,CUIS03991
REST00312,Crawford Inc,CITY02639,CUIS02998
REST00313,Webb-Hawkins,CITY04121,CUIS00541
REST00314,Davidson-Sanchez,CITY03571,CUIS03181
REST00315,Moore-Knight,CITY00108,CUIS02651
REST00316,Cooper-Murillo,CITY01362,CUIS01118
REST00317,Brown-Stout,CITY01248,CUIS00099
REST00318,Lucas-Carrillo,CITY04498,CUIS02246
REST00319,Donovan LLC,CITY02139,CUIS03878
REST00320,"Schroeder, Smith and Long",CITY00761,CUIS02384
REST00321,Gregory PLC,CITY04004,CUIS03607
REST00322,"Lee, Oneal and Gonzalez",CITY03476,CUIS04677
REST00323,Montgomery and Sons,CITY03415,CUIS01081
REST00324,"Lynn, Washington and Lee",CITY02388,CUIS04800
REST00325,Contreras Inc,CITY04954,CUIS00510
REST00326,Horne PLC,CITY01807,CUIS02991
REST00327,Cannon-Stevens,CITY00396,CUIS01219
REST00328,"Davis, Schmitt and Mccall",CITY01633,CUIS03000
REST00329,Parrish-King,CITY04496,CUIS00715
REST00330,Webster-Perry,CITY04276,CUIS03412
REST00331,"Stephens, Combs and Martinez",CITY02187,CUIS04521
REST00332,"Thompson, Gomez and Cruz",CITY03556,CUIS03650
REST00333,Lowery and Sons,CITY02793,CUIS04734
REST00334,"Knapp, Rasmussen and Jones",CITY04155,CUIS02248
REST00335,"Cuevas, Ayala and Perez",CITY01116,CUIS04978
REST00336,"White, Zamora and Shaw",CITY01687,CUIS04075
REST00337,Cole PLC,CITY02235,CUIS04135
REST00338,Johnson-Allen,CITY02280,CUIS03302
REST00339,"Thomas, Munoz and Baker",CITY03865,CUIS01318
REST00340,Larson PLC,CITY00436,CUIS01733
REST00341,"Lee, Griffin and Whitehead",CITY01380,CUIS04853
REST00342,"Davis, Williamson and Chandler",CITY01405,CUIS00694
REST00343,Baker-Nguyen,CITY03696,CUIS02342
REST00344,"Adams, Garcia and Griffin",CITY04760,CUIS04423
REST00345,Walsh Group,CITY00839,CUIS01976
REST00346,Williams Inc,CITY02772,CUIS02707
REST00347,"Curtis, Hernandez and Reeves",CITY00201,CUIS03569
REST00348,Lee and Sons,CITY04452,CUIS01618
REST00349,"Rios, Johnson and Lopez",CITY00144,CUIS02917
REST00350,Hurley-Martin,CITY00219,CUIS02837
REST00351,Jackson-Simon,CITY00862,CUIS00063
REST00352,"Haas, Richardson and Russo",CITY01712,CUIS01181
REST00353,"Compton, Gardner and Ford",CITY02699,CUIS04954
REST00354,Reed-Smith,CITY04466,CUIS01999
REST00355,"Martinez, Fitzpatrick and Browning",CITY00321,CUIS04343
REST00356,Turner-George,CITY01897,CUIS01884
REST00357,Johnson Inc,CITY04313,CUIS04672
REST00358,Simpson PLC,CITY01255,CUIS04645
REST00359,Gonzales-Cole,CITY00041,CUIS01045
REST00360,Dixon PLC,CITY03959,CUIS04522
REST00361,"Silva, Berry and Bailey",CITY03643,CUIS02092
REST00362,Wallace-Gonzales,CITY02573,CUIS00488
REST00363,"Archer, Hart and Day",CITY04312,CUIS02416
REST00364,Fuller Group,CITY02551,CUIS00984
REST00365,Mills-Edwards,CITY00649,CUIS04533
REST00366,Taylor-Holt,CITY00071,CUIS04197
REST00367,"Best, Barker and Harper",CITY02689,CUIS00558
REST00368,Burnett-Walters,CITY02158,CUIS03217
REST00369,Zuniga and Sons,CITY02047,CUIS02905
REST00370,Mata Group,CITY00254,CUIS04685
REST00371,Kane-Foster,CITY02331,CUIS03052
REST00372,Stokes and Sons,CITY01482,CUIS02386
REST00373,Martin-Martinez,CITY03680,CUIS02159
REST00374,Acosta-Munoz,CITY02141,CUIS03683
REST00375,Smith Inc,CITY02593,CUIS03095
REST00376,"Delgado, Herrera and Harris",CITY04357,CUIS02546
REST00377,Hartman Ltd,CITY04893,CUIS03190
REST00378,Jones-Nunez,CITY00028,CUIS01856
REST00379,Villarreal Ltd,CITY02140,CUIS03971
REST00380,"Zamora, Adams and Costa",CITY02715,CUIS03232
REST00381,"Woods, Adams and Gomez",CITY03994,CUIS01453
REST00382,Barber Ltd,CITY01280,CUIS03291
REST00383,"Dean, Peters and Franklin",CITY00432,CUIS02421
REST00384,Ramirez Inc,CITY04113,CUIS04376
REST00385,Santana-Cisneros,CITY02469,CUIS04750
REST00386,"Escobar, Cook and Luna",CITY00393,CUIS02759
REST00387,Montes Inc,CITY00373,CUIS02652
REST00388,Yu Inc,CITY04738,CUIS00107
REST00389,Murphy PLC,CITY04951,CUIS03359
REST00390,"Walker, Johnson and Carr",CITY02576,CUIS00759
REST00391,Marshall-Davis,CITY03098,CUIS01340
REST00392,Nelson Group,CITY01575,CUIS03437
REST00393,Hall Inc,CITY04346,CUIS00067
REST00394,Watkins Group,CITY01466,CUIS00426
REST00395,Saunders-Arnold,CITY00139,CUIS01970
REST00396,Nelson and Sons,CITY04378,CUIS01768
REST00397,Hansen and Sons,CITY03129,CUIS03776
REST00398,Price-Roberts,CITY01641,CUIS04923
REST00399,Riddle PLC,CITY03284,CUIS03441
REST00400,Nguyen-Elliott,CITY00396,CUIS02736
REST00401,Coleman Inc,CITY02960,CUIS02526
REST00402,Romero PLC,CITY00992,CUIS02252
REST00403,Lopez-Turner,CITY01588,CUIS00521
REST00404,"Chavez, Smith and Ortega",CITY00652,CUIS04445
REST00405,"Smith, Ruiz and Charles",CITY02738,CUIS02662
REST00406,"Mcdonald, Berry and Galloway",CITY04932,CUIS00834
REST00407,"Lopez, Terry and King",CITY04512,CUIS01528
REST00408,Brewer Inc,CITY01660,CUIS00229
REST00409,"Wright, Eaton and Ward",CITY04625,CUIS02549
REST00410,Delgado LLC,CITY02294,CUIS02159
REST00411,"Jacobson, Velasquez and Singh",CITY03491,CUIS01628
REST00412,Mitchell-Anderson,CITY00886,CUIS04947
REST00413,"Marshall, Briggs and Brady",CITY01678,CUIS04218
REST00414,"Watts, Barton and Gibson",CITY00443,CUIS01822
REST00415,Hernandez Ltd,CITY04113,CUIS00280
REST00416,Wood LLC,CITY01817,CUIS02396
REST00417,"Smith, White and Zimmerman",CITY01414,CUIS00061
REST00418,"Terry, Sharp and Melendez",CITY04281,CUIS04399
REST00419,"Smith, Lee and Montgomery",CITY02213,CUIS00936
REST00420,"Pena, Johnson and Diaz",CITY03101,CUIS02280
REST00421,Coleman Inc,CITY01668,CUIS04826
REST00422,Olson-Morton,CITY01351,CUIS03083
REST00423,"Deleon, Beck and Knight",CITY03193,CUIS01957
REST00424,Hill-Brown,CITY02159,CUIS01540
REST00425,Green-Robinson,CITY04128,CUIS04045
REST00426,"Carpenter, Cole and Fernandez",CITY03640,CUIS04534
REST00427,"Meyer, Williams and Fitzgerald",CITY04288,CUIS04772
REST00428,"Hill, Bailey and Henderson",CITY04536,CUIS04876
REST00429,Cohen-Richardson,CITY01728,CUIS01586
REST00430,Fuller-Smith,CITY04940,CUIS03587
REST00431,Owen PLC,CITY00437,CUIS04815
REST00432,Velez-Young,CITY00887,CUIS04133
REST00433,"Mendoza, Johnston and Turner",CITY01215,CUIS00216
REST00434,Payne-Roberts,CITY03574,CUIS04946
REST00435,Wolf LLC,CITY03657,CUIS03618
REST00436,"Mullen, Thompson and Ramirez",CITY00006,CUIS02967
REST00437,"Clark, Fernandez and Marshall",CITY01346,CUIS03069
REST00438,"Watson, Anthony and Smith",CITY00472,CUIS01116
REST00439,Massey Ltd,CITY04494,CUIS03035
REST00440,Rodgers Ltd,CITY01897,CUIS02462
REST00441,"Gardner, Phillips and Cordova",CITY01536,CUIS01639
REST00442,Barnett-Stewart,CITY00056,CUIS02544
REST00443,Fernandez-Roberts,CITY03956,CUIS03613
REST00444,"Zavala, Rose and Gonzalez",CITY00892,CUIS02799
REST00445,Johnson PLC,CITY03580,CUIS01127
REST00446,"Hicks, Alvarado and Martin",CITY01529,CUIS02427
REST00447,Miller-Mitchell,CITY02096,CUIS01618
REST00448,Carson-Mann,CITY00770,CUIS00705
REST00449,Carlson PLC,CITY00947,CUIS01158
REST00450,Williams-Kaiser,CITY02617,CUIS01051
REST00451,"Carey, Morgan and Wilson",CITY01212,CUIS01392
REST00452,Valenzuela-Heath,CITY04302,CUIS03197
REST00453,Pratt Ltd,CITY03655,CUIS03556
REST00454,Middleton Group,CITY04877,CUIS04540
REST00455,"Villarreal, Santiago and Mills",CITY04772,CUIS02331
REST00456,"Buchanan, Fletcher and Hoffman",CITY03728,CUIS01241
REST00457,Bowman-Simmons,CITY04062,CUIS03128
REST00458,Hughes-Guerra,CITY03698,CUIS02886
REST00459,"Nguyen, Rios and Holmes",CITY04219,CUIS03593
REST00460,Ford-Thomas,CITY01926,CUIS03505
REST00461,"Gardner, Murphy and Pierce",CITY02336,CUIS01426
REST00462,Escobar Ltd,CITY02127,CUIS03056
REST00463,Owens Group,CITY00573,CUIS03447
REST00464,"Horton, Davidson and Beasley",CITY01312,CUIS02291
REST00465,Hamilton-Guerrero,CITY02202,CUIS04628
REST00466,Mack-Williams,CITY00319,CUIS01232
REST00467,"Sanders, Jones and Solomon",CITY03905,CUIS01989
REST00468,"Ramsey, Collier and Knox",CITY02198,CUIS04750
REST00469,"Potts, Perez and Martinez",CITY01763,CUIS04529
REST00470,"Wilcox, Smith and Pena",CITY03282,CUIS02716
REST00471,Freeman-Davis,CITY02505,CUIS04748
REST00472,"Griffin, Hall and Jones",CITY03043,CUIS01934
REST00473,Chase PLC,CITY02216,CUIS00653
REST00474,Jones Group,CITY02577,CUIS03306
REST00475,Smith PLC,CITY02363,CUIS03146
REST00476,"Martin, Brown and Romero",CITY02611,CUIS02972
REST00477,Pacheco PLC,CITY04571,CUIS01168
REST00478,"Rogers, Snyder and Nguyen",CITY02583,CUIS01570
REST00479,Key-Whitaker,CITY01010,CUIS03539
REST00480,"Oneal, Gonzales and Reed",CITY01090,CUIS02768
REST00481,Owen Inc,CITY01935,CUIS04223
REST00482,Robinson-Sanchez,CITY04850,CUIS02989
REST00483,Fleming Ltd,CITY03707,CUIS04370
REST00484,"Herrera, Myers and Hill",CITY01478,CUIS00654
REST00485,Reyes-Dillon,CITY04182,CUIS00820
REST00486,Schwartz LLC,CITY04999,CUIS04116
REST00487,"Parker, Rodriguez and Smith",CITY02557,CUIS01893
